,Produktgruppe,Menge,Gewicht,Mass 1,Kunden-Nr.,Land,Zustellercode,Transportschaden
0,VARIOROLLO,1.0,4.655,178.1,17023,DE,UPS,0
1,ROLLO,1.0,1.735,70.0,30281,IT,UPS,0
2,INSCHUTZ,2.0,0.0,0.0,15039,DE,TOUR_SPED,0
3,PLISSEE_20,1.0,0.755,46.7,35950,DE,UPS,0
4,ROLLO,6.0,6.4,256.0,35950,DE,UPS,0
5,JALOUSIE,2.0,16.37,384.0,16575,DE,UPS,0
6,PLISSEE_20,3.0,1.74,127.5,19573,DE,UPS,0
7,PLISSEE_WA,2.0,4.19,240.6,35950,DE,UPS,0
8,PLISSEE_20,3.0,2.15,167.2,35950,DE,UPS,0
9,PLISSEE_20,2.0,1.35,66.5,29091,DE,UPS,0
10,PLISSEE_20,4.0,2.52,267.1,26409,DE,UPS,0
11,ROLLO,1.0,2.07,120.0,35950,DE,UPS,0
12,REPARATUR,1.0,1.24,60.0,24272,AT,UPS,0
13,PLISSEE_20,4.0,1.41,32.0,35950,CH,UPS,0
14,ROLLO,1.0,0.0,0.0,15058,DE,DHL,0
15,PLISSEE_20,2.0,2.84,248.20000000000002,26482,DE,UPS,0
16,PLISSEE_20,5.0,4.89,73.9,17208,DE,UPS,0
17,PLISSEE_WA,1.0,1.515,119.7,35950,DE,UPS,0
18,FVORHANG,21.0,0.0,660.0,29596,DE,TOUR_SPED,0
19,PLISSEE_WA,1.0,0.83,53.7,35950,DE,UPS,0
20,ROLLO,2.0,2.76,116.5,35950,DE,UPS,0
21,PLISSEE_WA,1.0,1.44,106.0,35950,DE,UPS,0
22,ENDKAPPEN,1.0,0.0,0.0,21547,DE,DHL,0
23,ENDKAPPEN,1.0,0.0,0.0,35950,DE,DHL,0
24,ROLLO,3.0,4.105,194.0,35950,DE,UPS,0
25,PLISSEE_20,3.0,3.48,236.0,27629,DE,UPS,0
26,ENDKAPPEN,8.0,0.0,0.0,15635,DE,DHL,0
27,PLISSEE_20,1.0,0.92,0.0,25386,DE,UPS,0
28,PLISSEE_20,1.0,0.54,19.5,35950,DE,UPS,0
29,PLISSEE_WA,2.0,1.66,59.7,35950,DE,UPS,0
30,PLISSEE_WA,2.0,2.565,97.3,35950,CH,UPS,0
31,ROLLO,2.0,4.415,224.10000000000002,17885,DE,UPS,0
32,PLISSEE_20,4.0,1.53,35.2,22756,CH,UPS_CH,0
33,ROLLO,1.0,0.0,300.0,37218,DE,TOUR_SPED,0
34,INSCHUTZ,1.0,0.0,0.0,31363,LU,TOUR_SPED,0
35,INSCHUTZ,4.0,0.0,0.0,20522,DE,DHL,0
36,FALTROLLO,1.0,4.8,220.0,23739,DE,UPS,0
37,ROLLO,1.0,1.765,114.0,35950,DE,UPS,0
38,PLISSEE_20,1.0,1.295,98.7,35950,DE,UPS,0
39,VARIOROLLO,1.0,7.43,150.0,15102,DE,UPS,0
40,PLISSEE_20,4.0,1.5,46.2,20665,DE,UPS,0
41,JALOUSIE,1.0,1.98,65.3,21066,DE,UPS,0
42,PLISSEE_WA,2.0,0.975,43.9,35950,DE,UPS,0
43,PLISSEE_20,12.0,2.27,118.5,22756,CH,UPS_CH,0
44,KOLLEKTION,3.0,4.17,0.0,15371,DE,UPS,0
45,LAMELLE,1.0,2.26,116.0,25463,DE,UPS,0
46,PLISSEE_20,2.0,1.54,76.1,22262,DE,UPS,0
47,INSCHUTZ,1.0,0.0,0.0,34885,DE,AUSL._FA,0
48,PLISSEE_20,13.0,9.52,274.5,22263,DE,UPS,0
49,ROLLO,2.0,2.66,133.0,35950,DE,UPS,0
50,PLISSEE_WA,1.0,1.915,202.1,35950,DE,UPS,0
51,PLISSEE_20,3.0,1.875,102.9,35950,DE,UPS,0
52,PLISSEE_20,12.0,3.82,216.1,24321,DE,UPS,0
53,PLISSEE_WA,6.0,4.07,307.8,35950,DE,UPS,0
54,PLISSEE_20,1.0,1.275,108.2,35950,DE,UPS,0
55,PLISSEE_20,2.0,1.69,195.0,29198,DE,UPS,0
56,ROLLO,3.0,3.41,109.6,27836,DE,UPS,0
