,Produktgruppe,Menge,Gewicht,Mass 1,Kunden-Nr.,Land,Zustellercode,Transportschaden
0,ROLLO,1.0,6.68,170.5,35950,DE,UPS,0
1,PLISSEE_WA,2.0,2.275,157.4,35950,DE,UPS,0
2,PLISSEE_20,1.0,1.285,92.7,35950,DE,UPS,0
3,PLISSEE_20,2.0,2.065,94.9,35950,AT,UPS,0
4,PLISSEE_WA,1.0,1.155,84.7,35950,DE,UPS,0
5,PLISSEE_20,1.0,1.17,80.5,35950,DE,UPS,0
6,PLISSEE_20,3.0,1.69,56.3,35950,CH,UPS,0
7,ROLLO,1.0,3.485,120.0,33607,IT,UPS,0
8,PLISSEE_WA,1.0,0.86,41.0,35950,DE,UPS,0
9,BEFESTIGUN,1.0,0.225,0.0,35950,CH,UPS,0
10,PLISSEE_20,2.0,1.38,120.4,35950,DE,UPS,0
11,PLISSEE_20,7.0,0.225,50.0,18491,DE,UPS,0
12,ROLLO,16.0,3.86,166.1,35950,DE,UPS,0
13,PLISSEE_WA,6.0,8.525,224.4,35950,DE,UPS,0
14,PLISSEE_20,2.0,1.205,44.5,35950,AT,UPS,0
15,ROLLO,12.0,0.49,0.0,33933,BE,UPS,0
16,PLISSEE_20,1.0,1.24,74.5,35950,DE,UPS,0
17,LAMELLE,1.0,0.0,0.0,20364,DE,DHL,0
18,ROLLO,3.0,13.625,684.5,22756,CH,UPS_CH,0
19,SONSTIGE,80.0,0.0,0.0,20581,DE,DHL,0
20,ROLLO,2.0,1.225,49.0,35950,DE,UPS,0
21,GETRIEBE,4.0,0.25,0.0,35950,AT,UPS,0
22,PLISSEE_20,2.0,1.83,79.7,35950,DE,UPS,0
23,LAMELLE,21.0,0.0,0.0,21297,DE,DHL,0
24,ROLLO,1.0,0.175,20.0,28557,BE,UPS,0
25,ROLLO,1.0,1.325,91.0,35950,DE,UPS,0
26,GETRIEBE,10.0,0.0,0.0,28557,BE,DHL,0
27,LAMELLE,80.0,0.0,0.0,19355,CH,DHL,0
28,LAMELLE,200.0,0.0,0.0,19380,DE,DHL,0
29,INSCHUTZ,25.0,4.8,0.0,26241,DE,UPS,0
30,SCHNUR,60.0,0.0,0.0,25386,DE,DHL,0
31,PLISSEE_20,4.0,0.0,0.0,26524,DE,DHL,0
32,ROLLO,1.0,0.845,58.1,35950,DE,UPS,0
33,PLISSEE_20,1.0,0.0,0.0,18601,DE,DHL,0
34,INSCHUTZ,4.7,2.66,0.0,24975,DE,UPS,0
35,PLISSEE_20,4.0,0.0,0.0,20175,DE,DHL,0
36,PLISSEE_20,40.0,0.0,0.0,35301,DE,DHL,0
37,PLISSEE_20,1.0,0.0,0.0,21773,DE,DHL,0
38,ROLLO,1.0,1.925,87.4,35950,DE,UPS,0
39,PLISSEE_20,20.0,0.0,0.0,15055,DE,DHL,0
40,SCHRAUBEN,2.0,0.0,0.0,19268,DE,DHL,0
41,PLISSEE_20,1.0,0.0,0.0,18261,DE,DHL,0
42,ROLLO,3.0,2.915,295.0,35950,DE,UPS,0
43,SONSTIGE,2.0,0.0,0.0,35950,DE,DHL,0
44,BEFESTIGUN,2.0,0.0,0.0,35950,DE,DHL,0
45,PLISSEE_20,10.0,0.0,0.0,25344,DE,DHL,0
46,ROLLO,3.0,0.0,0.0,16907,DE,KEP,0
47,BEFESTIGUN,4.0,0.0,0.0,35950,DE,DHL,0
48,PLISSEE_20,2.0,3.2,226.0,15799,DE,UPS,0
49,PLISSEE_20,4.0,0.0,0.0,33842,DE,DHL,0
50,PLISSEE_20,1.0,0.0,0.0,35844,DE,DHL,0
51,PLISSEE_20,1.0,0.0,0.0,24071,DE,DHL,0
52,ENDKAPPEN,1.0,0.0,0.0,19355,DE,DHL,0
53,PLISSEE_20,4.0,0.0,0.0,35950,DE,DHL,0
54,PRÜFUNG,1.0,3.055,99.9,36139,DE,UPS,0
55,PLISSEE_20,5.0,0.0,0.0,27280,DE,DHL,0
56,PLISSEE_20,2.0,0.0,0.0,28503,DE,DHL,0
57,SONSTIGE,1.0,0.0,0.0,23675,DE,DHL,0
58,LAMELLE,20.0,15.614999999999998,649.0,29574,FR,UPS,0
59,PLISSEE_WA,2.0,3.135,139.8,35950,DE,UPS,0
60,ROLLO,2.0,5.57,264.0,17250,DE,UPS,0
61,PLISSEE_20,1.0,0.0,0.0,16402,DE,DHL,0
62,PLISSEE_20,1.0,0.0,0.0,22536,DE,DHL,0
63,PLISSEE_WA,2.0,4.8,386.2,27201,FR,UPS,0
64,ROLLO,1.0,3.5,120.0,25563,DE,UPS,0
65,BEFESTIGUN,4.0,0.0,0.0,26800,DE,DHL,0
66,LAMELLE,1.0,1.54,75.5,28984,DE,UPS,0
67,ENDKAPPEN,1.0,0.0,0.0,15828,DE,DHL,0
68,FALTROLLO,4.0,8.74,490.0,19100,DE,UPS,0
69,BEFESTIGUN,1.0,0.0,0.0,35950,DE,DHL,0
70,FALTROLLO,1.0,3.895,173.0,34819,FR,UPS,0
71,SONSTIGE,7.0,0.0,0.0,20540,DE,DHL,0
72,FALTROLLO,2.0,6.325,337.0,17885,DE,UPS,0
73,ROLLO,1.0,0.0,0.0,19355,DE,DHL,0
74,PLISSEE_20,6.0,9.425,871.0999999999999,23673,DE,UPS,0
75,ROLLO,6.0,2.7,206.0,35950,CH,UPS,0
76,ROLLO,1.0,0.0,0.0,15637,DE,DHL,0
77,PLISSEE_20,7.0,8.725,601.0,27929,DE,UPS,0
78,ROLLO,2.0,8.575,330.0,35950,DE,UPS,0
79,ENDKAPPEN,1.0,0.0,0.0,35950,DE,DHL,0
80,SONSTIGE,1.0,0.0,0.0,35950,DE,DHL,0
81,ENDKAPPEN,6.0,0.0,0.0,20552,DE,DHL,0
82,PLISSEE_20,8.0,10.715,388.0,22407,DE,UPS,0
84,ROLLO,1.0,2.87,120.0,35950,DE,UPS,0
85,ROLLO,3.0,8.19,206.6,34426,DE,UPS,0
86,PLISSEE_20,8.0,6.815,427.0,34017,DE,UPS,0
87,ROLLO,3.0,2.96,74.6,35950,DE,UPS,0
88,PLISSEE_20,6.0,7.03,56.7,27892,BE,UPS,0
89,ROLLO,1.0,8.64,132.5,35950,DE,UPS,0
90,PLISSEE_20,2.0,1.315,65.5,35950,AT,UPS,0
91,PLISSEE_20,8.0,6.91,427.6,17348,DE,UPS,0
92,PLISSEE_20,11.0,6.205,376.6,22897,DE,UPS,0
93,FVORHANG,7.0,1.69,141.0,17241,DE,UPS,0
94,PLISSEE_20,2.0,0.935,39.7,35950,CH,UPS,0
95,PLISSEE_20,16.0,5.915,637.0,19100,DE,UPS,0
96,PLISSEE_WA,1.0,1.025,73.4,35950,DE,UPS,0
97,JALOUSIE,7.0,14.43,433.4,36704,EE,UPS,0
98,PLISSEE_20,10.0,6.42,373.0,34269,DE,UPS,0
99,PLISSEE_20,1.0,0.625,49.7,35950,DE,UPS,0
100,PLISSEE_WA,8.0,7.56,343.1,29198,DE,UPS,0
101,PLISSEE_20,10.0,5.76,412.9,35412,BE,UPS,0
102,PLISSEE_20,2.0,1.32,61.2,35950,DE,UPS,0
103,PLISSEE_20,3.0,5.82,261.0,24733,DE,UPS,0
104,PLISSEE_WA,8.0,4.69,363.5,20499,DE,UPS,0
105,PLISSEE_20,1.0,0.89,72.7,34938,DE,UPS,0
106,PLISSEE_20,2.0,1.81,102.0,24110,DE,UPS,0
107,PLISSEE_20,1.0,1.08,67.7,35950,DE,UPS,0
108,PLISSEE_20,2.0,0.99,55.5,21074,DE,UPS,0
109,PLISSEE_20,1.0,0.63,44.3,17885,DE,UPS,0
110,ROLLO,4.0,0.5,80.0,27278,DE,UPS,0
111,PLISSEE_20,2.0,1.29,69.9,17398,DE,UPS,0
112,PLISSEE_20,1.0,1.11,92.2,35950,DE,UPS,0
113,PLISSEE_20,4.0,3.86,216.5,17398,DE,UPS,0
114,PLISSEE_20,6.0,12.22,269.5,28510,DE,UPS,0
115,ROLLO,1.0,8.495,180.0,35950,DE,UPS,0
116,PLISSEE_20,4.0,2.23,137.0,15246,DE,UPS,0
117,ROLLO,1.0,1.16,97.3,15133,DE,UPS,0
118,PLISSEE_20,1.0,0.99,90.0,28426,DE,UPS,0
119,PLISSEE_WA,2.0,1.89,92.0,17011,DE,UPS,0
120,ROLLO,1.0,0.0,226.3,35950,DE,UPS,0
121,PLISSEE_20,2.0,1.22,119.0,35950,CH,UPS,0
122,ROLLO,4.0,4.505,200.0,35950,AT,UPS,0
123,PLISSEE_20,2.0,1.15,52.2,17559,DE,UPS,0
124,ROLLO,1.0,7.54,157.0,35950,DE,UPS,0
125,PLISSEE_20,5.0,1.65,115.5,22398,DE,UPS,0
126,PLISSEE_20,3.0,2.64,191.5,22009,DE,UPS,0
127,PLISSEE_20,4.0,1.605,38.7,35950,DE,UPS,0
128,PLISSEE_WA,3.0,3.5,213.0,15582,DE,UPS,0
129,PLISSEE_20,6.0,3.86,343.79999999999995,16899,DE,UPS,0
130,PLISSEE_WA,5.0,4.51,316.0,20449,DE,UPS,0
131,PLISSEE_20,2.0,1.43,72.0,21766,DE,UPS,0
132,PLISSEE_20,1.0,1.0,73.5,16500,DE,UPS,0
133,PLISSEE_20,2.0,1.26,53.5,35950,DE,UPS,0
134,PLISSEE_20,2.0,1.375,127.1,35950,CH,UPS,0
135,PLISSEE_20,2.0,1.37,129.4,35950,DE,UPS,0
136,ROLLO,1.0,0.0,287.6,22756,CH,SPED,0
137,LAMELLE,26.592,0.0,416.0,22756,CH,SPED,0
138,ROLLO,1.0,5.935,153.5,35950,DE,UPS,0
139,ROLLO,1.0,6.58,149.5,35950,DE,UPS,0
140,ROLLO,1.0,10.095,118.0,19355,DE,UPS,0
141,ROLLO,2.0,7.29,135.0,35950,DE,UPS,0
142,ROLLO,1.0,3.53,122.0,22032,DE,UPS,0
143,PLISSEE_20,1.0,2.945,148.3,24773,DE,UPS,0
144,ROLLO,1.0,3.195,100.0,35950,DE,UPS,0
145,ROLLO,1.0,7.855,186.0,35950,DE,UPS,0
146,PLISSEE_20,1.0,2.215,0.0,15399,DE,UPS,0
